Country_Code,Country_Name,LP_Year,Learning_Poverty,F5_Internet_Usage,F1_GDP_per_capita,F8_Gender_Parity_Index,F7_Completion_Rate,F3_Pupil_Teacher_Ratio,F6_Net_Enrollment,F2_Gov_Edu_Exp,F4_Stunting_Rate
ALB,Albania,2021,10.236815452575684,83.13559161,20481.0358398226,1.01776003837585,95.1351520460518,17.57287,94.52966,3.09153008460998,11.3
ARE,United Arab Emirates,2021,25.91624641418457,100.0,70239.8552855072,1.00943005084991,99.1737916980463,24.52278,95.02753,3.89404010772705,
ARG,Argentina,2019,59.14719009399414,89.22897166,27230.3968496682,1.00501000881195,98.9436486948575,,99.184,5.00324010848999,8.7
ARM,Armenia,2019,27.241146087646484,79.99663036,19402.7510915578,1.00578999519348,94.3309098054628,15.41859,90.72273,2.43869996070862,9.4
AUS,Australia,2021,9.063639640808104,96.1160965,60684.9596204883,0.998040020465851,,,96.38096,5.05915021896362,
AUT,Austria,2021,14.969030380249023,95.33467117,64536.2981841434,0.994930028915405,98.030403137207,10.01653,88.61718,5.27749013900757,
AZE,Azerbaijan,2021,37.54677200317383,89.0,21310.7386915022,1.01040995121002,96.2334128073598,15.42982,92.42467,3.66036009788513,6.6
BDI,Burundi,2019,95.81885528564452,7.172299862,1036.16712196238,1.01317000389099,47.609493213452,42.52383,92.8047,4.87114173892375,58.0
BEL,Belgium,2021,8.52700424194336,94.62625074,63095.4017281289,1.01420998573303,,11.27695,98.76482,6.27611017227173,1.9
BEN,Benin,2019,55.77610397338867,32.39400101,3721.21254814808,0.925650000572205,61.6417503356934,39.19712,97.21103,3.22974322056608,34.1
BFA,Burkina Faso,2019,73.86119079589844,25.36120033,2486.20669812871,1.01706540584564,51.6947761170006,39.72173,78.64517,5.32757840997187,21.1
BGD,Bangladesh,2022,51.220001220703125,44.50274195,8242.39798977242,1.01849806308746,98.0281882152568,30.05459,,2.16213826344701,23.6
BGR,Bulgaria,2021,18.185699462890625,80.38956462,33073.8179631314,0.994620025157928,94.4560775756836,15.20744,86.4454,4.50109004974365,
BHR,Bahrain,2021,30.165699005126957,100.0,57819.9051831242,0.994170010089874,88.56187958298,11.92315,96.71489,1.88778167912993,
BRA,Brazil,2019,46.89786148071289,84.15060238,19079.8122132253,0.952139973640442,,20.22308,96.29925,5.61920976638794,8.0
CAN,Canada,2016,4.3018574714660645,94.14530182,57517.4431587432,0.993439972400665,,,99.8825,4.84426021575928,
CHL,Chile,2019,27.1904296875,94.45742345,29563.6780243659,0.967980027198792,100.907341003418,17.79358,94.74067,4.91201019287109,
CHN,China,2016,18.200000762939453,90.6,22687.0758723942,1.00856995582581,,16.42675,,3.89714002609253,4.8
CIV,Cote d'Ivoire,2019,79.88542175292969,40.65284979,6520.89886460031,0.956358850002289,75.870809116479,41.8223,90.32837,3.39421010017395,23.4
CMR,Cameroon,2019,71.9326171875,42.24380112,4875.25120768005,0.901210010051727,72.2156986466489,44.83412,92.87395,2.83907623667935,28.9
COD,"Congo, Dem. Rep.",2019,96.60150146484376,18.96789932,1559.33806475859,0.947830021381378,75.7079315185547,33.19793,,2.84466514463005,44.7
COG,"Congo, Rep.",2019,70.0140151977539,43.15039825,6172.28776650683,0.972339987754822,71.1370697021484,,,3.34005209256916,
COL,Colombia,2019,51.35694122314453,77.33686322,18382.9976800475,0.966480016708374,97.1171035766602,23.3015,92.91999,5.26166009902954,12.7
CRI,Costa Rica,2019,34.02406692504883,85.39514799,25979.6286150717,0.99126672744751,100.666328430176,12.2047,97.33255,5.31208992004395,9.0
CYP,Cyprus,2021,10.24965763092041,91.22110357,51453.7265625,0.99371999502182,101.446708679199,12.03922,97.49342,4.74210977554321,
CZE,Czechia,2021,14.206607818603516,85.99404818,47558.4106763314,1.00294995307922,98.7293701171875,,89.3503,4.30291986465454,
DEU,Germany,2021,15.439902305603027,92.4763763,63039.3719696432,1.0077600479126,99.2837371826172,12.30285,90.14286,5.23916006088257,1.3
