Country_Code,Country_Name,LP_Year,Learning_Poverty,F5_Internet_Usage,F1_GDP_per_capita,F8_Gender_Parity_Index,F7_Completion_Rate,F3_Pupil_Teacher_Ratio,F6_Net_Enrollment,F2_Gov_Edu_Exp,F4_Stunting_Rate,N1_Under5_Mortality,N2_Adolescent_Fertility,N3_Electricity_Access,N4_Physicians_per_1000,N5_Child_Marriage_Female,G1_Gov_Effectiveness,G2_Corruption_Control,G3_Rule_of_Law,G_AVG_Governance,GDP_Quartile,log_GDP,LP_Predicted_by_GDP,Residual,Deviance_Group
CAN,Canada,2016,4.3018574714660645,94.14530182,57517.4431587432,0.993439972400665,96.04386090194755,13.259338000000003,99.8825,4.84426021575928,2.06,5.4,4.805,100.0,2.819,0.22,1.51680326461792,1.67150104045868,1.47300565242767,1.553769985834757,"Q4
(고소득)",10.959843540063808,13.897876227886968,-9.596018756420904,Middle
CHL,Chile,2019,27.1904296875,94.45742345,29563.6780243659,0.967980027198792,100.907341003418,17.79358,94.74067,4.91201019287109,10.6,6.9,6.542,100.0,3.334,9.62,0.71755576133728,0.968603789806366,0.625093758106232,0.7704177697499593,"Q3
(중소득)",10.294301793044697,30.336705370288257,-3.146275682788257,Middle
CHN,China,2016,18.200000762939453,90.6,22687.0758723942,1.00856995582581,98.7388199180295,16.42675,94.352682,3.89714002609253,4.8,6.1,5.227,100.0,3.112,2.8,0.679014027118683,-0.0053701046854257,-0.0401299707591534,0.2111713172247012,"Q2
(저소득)",10.029550696502733,36.87603676581645,-18.676036002876998,Positive
CIV,Cote d'Ivoire,2019,79.88542175292969,40.65284979,6520.89886460031,0.956358850002289,75.870809116479,41.8223,90.32837,3.39421010017395,23.4,66.5,92.085,72.4,0.166,25.8,-0.359512031078339,-0.313007414340973,-0.461197137832642,-0.3779055277506513,"Q1
(최저소득)",8.782767508087273,67.67148408941097,12.21393766351872,Middle
CMR,Cameroon,2019,71.9326171875,42.24380112,4875.25120768005,0.901210010051727,72.2156986466489,44.83412,92.87395,2.83907623667935,28.9,67.0,106.661,72.0,0.136,29.8,-0.906262576580048,-1.16255974769592,-1.03819787502289,-1.035673399766286,"Q1
(최저소득)",8.491926911884857,74.8552240877801,-2.922606900280101,Middle
COD,"Congo, Dem. Rep.",2019,96.60150146484376,18.96789932,1559.33806475859,0.947830021381378,75.7079315185547,33.19793,81.066224,2.84466514463005,44.7,91.3,106.884,22.1,0.208,29.1,-1.68906629085541,-1.48051190376282,-1.67073619365692,-1.61343812942505,"Q1
(최저소득)",7.352016692733012,103.01091742218537,-6.409415957341608,Middle
COG,"Congo, Rep.",2019,70.0140151977539,43.15039825,6172.28776650683,0.972339987754822,71.1370697021484,36.770276,85.239104,3.34005209256916,23.839999999999996,40.3,109.88,51.3,0.173,27.3,-1.33428740501404,-1.34527885913849,-1.02058732509613,-1.2333845297495534,"Q1
(최저소득)",8.727824836911203,69.02856377394744,0.9854514238064667,Middle
COL,Colombia,2019,51.35694122314453,77.33686322,18382.9976800475,0.966480016708374,97.1171035766602,23.3015,92.91999,5.26166009902954,12.7,11.9,59.473,98.7,2.535,23.4,-0.075877919793129,-0.309191286563873,-0.458272933959961,-0.281114046772321,"Q2
(저소득)",9.81918147728189,42.07214004120195,9.284801181942584,Middle
CRI,Costa Rica,2019,34.02406692504883,85.39514799,25979.6286150717,0.99126672744751,100.666328430176,12.2047,97.33255,5.31208992004395,9.0,10.1,26.251,100.0,2.687,17.1,0.260196477174759,0.653749406337738,0.389316648244858,0.4344208439191184,"Q3
(중소득)",10.165067995090533,33.52877008074003,0.49529684430879684,Middle
CYP,Cyprus,2021,10.24965763092041,91.22110357,51453.7265625,0.99371999502182,101.446708679199,12.03922,97.49342,4.74210977554321,1.98,4.6,6.981,100.0,3.556,1.3199999999999998,0.73773992061615,0.332707405090332,0.628040313720703,0.5661625464757284,"Q4
(고소득)",10.848438169397232,16.649580177543385,-6.3999225466229746,Middle
